reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
34,36,60,0,0,0,38,19.384867399930954,20.320400099968538,20.320400099968538,20.387076399987563,t,3.2567285001277924,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
53,57,44,0,1,1,57,23.618063000030816,24.60426289984025,24.60426289984025,24.620493500027806,t,3.8744495999999344,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
65,69,35,0,2,2,69,28.51815539994277,29.503771499963477,29.503771499963477,29.520404699957,t,3.532362899975851,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
63,67,25,0,3,3,67,33.067951399832964,34.054403599817306,34.054403599817306,34.070605400018394,t,4.041895200032741,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
71,80,65,0,4,4,75,38.13472939981148,39.120735300006345,39.120735300006345,39.13700579991564,l,1.8520784999709576,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
31,33,42,0,5,5,35,41.004027099814266,42.00393179990351,42.00393179990351,42.00393179990351,t,5.692892999853939,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
30,32,36,0,6,6,34,47.720732499845326,48.72011899994686,48.72011899994686,48.736833199858665,t,2.8518405999056995,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
8,12,72,0,7,7,14,51.60697550000623,52.6035499998834,52.6035499998834,52.620714999968186,l,1.5194345000199974,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
44,46,63,0,8,8,48,54.153110299957916,55.153674699831754,55.153674699831754,55.153674699831754,t,1.4349817000329494,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
10,14,8,0,9,9,16,56.620336699998006,57.62066499982029,57.62066499982029,57.62066499982029,t,1.824860200053081,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
54,58,55,0,10,10,58,59.470937700010836,60.47026089997962,60.47026089997962,60.47026089997962,t,2.572084299987182,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
62,66,20,0,11,11,66,63.07067189994268,64.07101479987614,64.07101479987614,64.07101479987614,t,2.934429000131786,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
56,60,77,0,12,12,60,67.03636029991321,68.03735729982145,68.03735729982145,68.03735729982145,t,2.1226753001101315,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
100,103,54,0,13,13,99,70.18712909985334,71.18696639989503,71.18696639989503,71.18696639989503,t,2.4132769000716507,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
14,17,32,0,14,14,19,73.63449949980713,74.61924479994923,74.61924479994923,74.63649239996448,l,2.052873099921271,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
93,99,48,0,15,15,97,76.7037818999961,77.70369459991343,77.70369459991343,77.70369459991343,t,2.418445900082588,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
37,39,14,0,16,16,41,80.15365049988031,81.15405719983391,81.15405719983391,81.15405719983391,l,1.3781215001363307,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
7,11,63,0,17,17,13,82.55412879982032,83.55364569998346,83.55364569998346,83.55364569998346,t,1.6256242000963539,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
75,88,85,0,18,18,79,85.217872899957,86.20390279986896,86.20390279986896,86.22079039993696,l,2.3376462999731302,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
67,75,119,0,19,19,5,88.57085199980065,89.57041629985906,89.57041629985906,89.57041629985906,l,1.7567265999969095,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
70,78,60,0,20,20,74,91.36783179990016,92.35373029997572,92.35373029997572,92.37048949999735,l,2.7935198999475688,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
17,19,48,0,21,21,21,95.17017389996909,96.17040719999932,96.17040719999932,96.17040719999932,t,2.200173399876803,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
42,44,49,0,22,22,46,98.38708639983088,99.38775440002792,99.38775440002792,99.38775440002792,t,1.901193300029263,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
26,28,12,0,23,23,30,101.32047229981981,102.32051140000112,102.32051140000112,102.32051140000112,t,1.4395046001300216,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
18,20,56,0,24,24,22,103.78692989982665,104.7869631999638,104.7869631999638,104.7869631999638,t,3.5310223000124097,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
86,110,27,0,25,25,90,108.33719879994169,109.3370507999789,109.3370507999789,109.3370507999789,l,2.2078619999811053,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
39,41,28,0,26,26,43,111.57039909996092,112.57121909991838,112.57121909991838,112.57121909991838,t,4.3280103001743555,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
55,59,66,0,27,27,59,116.93462680000812,117.92066329997033,117.92066329997033,117.93729299982078,l,3.8048640000633895,None,3,001,2023-11-03_13h13.00.928,delay_discounting,2023.1.3,59.64067680822047,
